Chemical,Label
NCGC00261820-01,0.356272
NCGC00261808-01,0.206966
NCGC00260790-01,0.110228
NCGC00260940-01,0.244359
NCGC00261081-01,0.018347
NCGC00261133-01,0.751710
NCGC00261399-01,0.353989
NCGC00260696-01,0.392399
NCGC00261903-01,0.502557
NCGC00261178-01,0.100124
NCGC00261568-01,0.313582
NCGC00260830-01,0.019560
NCGC00261113-01,0.298119
NCGC00261327-01,0.235893
NCGC00261602-01,0.692153
NCGC00260858-01,0.858331
NCGC00261071-01,0.010138
NCGC00261076-01,0.091364
NCGC00261192-01,0.132117
NCGC00261495-01,0.000000
NCGC00261577-01,0.104202
NCGC00261510-01,0.183825
NCGC00261679-01,0.552281
NCGC00261941-01,0.830220
NCGC00261343-01,0.183593
NCGC00261607-01,0.183314
NCGC00261782-01,0.449718
NCGC00261914-01,0.070786
NCGC00261475-01,0.546537
NCGC00261764-01,0.391228
NCGC00261802-01,0.240453
NCGC00260795-01,0.297042
NCGC00261352-01,0.663109
NCGC00261009-01,0.838885
NCGC00261944-01,0.645077
NCGC00261166-01,0.632111
NCGC00261332-01,0.414859
NCGC00261333-01,0.674605
NCGC00261260-01,0.130593
NCGC00261915-01,0.209087
NCGC00261682-01,0.679758
NCGC00261049-01,0.282034
NCGC00260910-01,0.066725
NCGC00261272-01,0.599104
NCGC00260708-01,0.001321
NCGC00261390-01,0.005097
NCGC00260948-01,0.003585
NCGC00261840-01,0.000228
NCGC00260881-01,0.000726
NCGC00261153-01,0.013207
NCGC00261406-01,0.008503
NCGC00261053-01,0.070570
NCGC00261129-01,0.018608
NCGC00261381-01,0.170730
NCGC00261426-01,0.393246
NCGC00260979-01,0.078914
NCGC00260993-01,0.038370
NCGC00261108-01,0.020174
NCGC00261441-01,0.001955
NCGC00261877-01,0.635861
NCGC00260815-01,0.022455
NCGC00261542-01,0.544675
NCGC00261958-01,0.006111
NCGC00261787-01,0.111957
NCGC00261065-01,0.364732
NCGC00261804-01,0.525298
NCGC00260875-01,0.013304
NCGC00261451-01,0.111959
NCGC00261739-01,0.016652
NCGC00261382-01,0.087749
NCGC00261663-01,0.000148
NCGC00260892-01,0.009265
NCGC00261297-01,0.525720
NCGC00261321-01,0.350755
NCGC00261446-01,0.194398
NCGC00261474-01,0.505951
NCGC00260834-01,0.000002
NCGC00260840-01,0.000008
NCGC00260947-01,0.082423
NCGC00261080-01,0.000000
NCGC00261563-01,0.000001
NCGC00261873-01,0.000000
NCGC00260803-01,0.863312
NCGC00260833-01,0.470080
NCGC00261008-01,0.001238
NCGC00261155-01,0.004867
NCGC00261643-01,0.002402
NCGC00261037-01,0.026362
NCGC00261126-01,0.367122
NCGC00260871-01,0.833733
NCGC00260713-01,0.042479
NCGC00261487-01,0.000096
NCGC00261545-01,0.008160
NCGC00261480-01,0.405867
NCGC00261838-01,0.070914
NCGC00261627-01,0.000192
NCGC00261639-01,0.000195
NCGC00261177-01,0.015500
NCGC00260692-01,0.322710
NCGC00260775-01,0.007663
NCGC00260876-01,0.000383
NCGC00261598-01,0.000746
NCGC00260707-01,0.001953
NCGC00261554-01,0.771711
NCGC00261713-01,0.817710
NCGC00261737-01,0.786391
NCGC00261882-01,0.254719
NCGC00261933-01,0.010754
NCGC00261201-01,0.001506
NCGC00261398-01,0.000001
NCGC00261601-01,0.000000
NCGC00261003-01,0.009401
NCGC00261019-01,0.008504
NCGC00261519-01,0.005788
NCGC00261732-01,0.012216
NCGC00261718-01,0.009142
NCGC00260743-01,0.000433
NCGC00260751-01,0.000118
NCGC00260867-01,0.001571
NCGC00260982-01,0.006785
NCGC00261176-01,0.000296
NCGC00261289-01,0.001030
NCGC00261440-01,0.133354
NCGC00261657-01,0.007170
NCGC00260822-01,0.096059
NCGC00261142-01,0.014992
NCGC00261582-01,0.000534
NCGC00261825-01,0.136028
NCGC00261833-01,0.044385
NCGC00261835-01,0.275453
NCGC00261860-01,0.003031
NCGC00261906-01,0.095959
NCGC00261916-01,0.858248
NCGC00261939-01,0.355999
NCGC00261869-01,0.362642
NCGC00261163-01,0.005541
NCGC00261653-01,0.000292
NCGC00261248-01,0.063863
NCGC00260770-01,0.028462
NCGC00261013-01,0.071221
NCGC00261910-01,0.006175
NCGC00261686-01,0.001197
NCGC00261147-01,0.000584
NCGC00261578-01,0.000059
NCGC00261336-01,0.060670
NCGC00261593-01,0.011799
NCGC00260821-01,0.001072
NCGC00261007-01,0.001295
NCGC00261246-01,0.033850
NCGC00261949-01,0.000150
NCGC00260890-01,0.308662
NCGC00261294-01,0.266336
NCGC00261330-01,0.298901
NCGC00261470-01,0.289397
NCGC00260691-01,0.015022
NCGC00261693-01,0.147016
NCGC00261293-01,0.000258
NCGC00261018-01,0.001115
NCGC00261075-01,0.028912
NCGC00261150-01,0.006054
NCGC00261767-01,0.051346
NCGC00261824-01,0.068070
NCGC00261146-01,0.007638
NCGC00260817-01,0.059488
NCGC00261161-01,0.135772
NCGC00260728-01,0.222492
NCGC00261286-01,0.671259
NCGC00261254-01,0.000797
NCGC00261261-01,0.015366
NCGC00261691-01,0.030607
NCGC00261921-01,0.002112
NCGC00260962-01,0.033374
NCGC00261028-01,0.356813
NCGC00261349-01,0.043504
NCGC00261583-01,0.787099
NCGC00261672-01,0.316275
NCGC00261620-01,0.884904
NCGC00261141-01,0.023202
NCGC00261752-01,0.035558
NCGC00261828-01,0.189477
NCGC00261913-01,0.034055
NCGC00261473-01,0.118431
NCGC00356953-01,0.000016
NCGC00357009-01,0.007509
NCGC00357188-01,0.455077
NCGC00357201-01,0.231448
NCGC00357189-01,0.001509
NCGC00357163-01,0.003664
NCGC00357001-01,0.000161
NCGC00357030-01,0.000521
NCGC00357123-01,0.000447
NCGC00357004-01,0.012174
NCGC00357103-01,0.000760
NCGC00357289-01,0.929715
NCGC00357082-01,0.432317
NCGC00356999-01,0.013366
NCGC00357116-01,0.011361
NCGC00357010-01,0.055457
NCGC00357171-01,0.000086
NCGC00356964-01,0.010830
NCGC00356995-01,0.010743
NCGC00357062-01,0.024312
NCGC00357205-01,0.516787
NCGC00357185-01,0.023420
NCGC00357028-01,0.550534
NCGC00357064-01,0.003079
NCGC00357196-01,0.152584
NCGC00357271-01,0.751283
NCGC00357198-01,0.000148
NCGC00357079-01,0.000176
NCGC00356984-01,0.036421
NCGC00357080-01,0.001951
NCGC00357173-01,0.002535
NCGC00357277-01,0.066566
NCGC00357240-01,0.000025
NCGC00357145-01,0.032017
NCGC00357157-01,0.009745
NCGC00357160-01,0.000001
NCGC00357107-01,0.000003
NCGC00357106-01,0.000002
NCGC00357047-01,0.000038
NCGC00357174-01,0.000061
NCGC00357090-01,0.000034
NCGC00357204-01,0.003207
NCGC00357214-01,0.004032
NCGC00357124-01,0.005718
NCGC00356983-01,0.008350
NCGC00357092-01,0.001871
NCGC00357042-01,0.000827
NCGC00357036-01,0.000001
NCGC00357089-01,0.000981
NCGC00357170-01,0.000208
NCGC00357132-01,0.019250
NCGC00357265-01,0.004548
NCGC00357260-01,0.000510
NCGC00357023-01,0.006184
NCGC00357114-01,0.115881
NCGC00357033-01,0.003254
NCGC00357120-01,0.002479
NCGC00356963-01,0.016890
NCGC00357055-01,0.591047
NCGC00357139-01,0.034859
NCGC00357026-01,0.025276
NCGC00357242-01,0.116768
NCGC00357161-01,0.120985
NCGC00357279-01,0.007351
NCGC00357288-01,0.124755
NCGC00356973-01,0.009137
NCGC00357143-01,0.001721
NCGC00357182-01,0.004175
NCGC00356971-01,0.000133
NCGC00357084-01,0.001211
NCGC00357112-01,0.000217
NCGC00356962-01,0.030244
NCGC00356993-01,0.008700
NCGC00357284-01,0.511866
NCGC00357046-01,0.094913
NCGC00357000-01,0.029236
NCGC00357012-01,0.154557
NCGC00356939-01,0.018760
NCGC00356955-01,0.001826
NCGC00357262-01,0.005362
NCGC00356991-01,0.115915
NCGC00357203-01,0.030238
NCGC00357049-01,0.000975
NCGC00357164-01,0.000031
NCGC00357073-01,0.000788
NCGC00357043-01,0.002143
NCGC00357269-01,0.001298
NCGC00357266-01,0.013723
NCGC00357076-01,0.000992
NCGC00357153-01,0.289058
NCGC00357138-01,0.001144
NCGC00357071-01,0.000734
NCGC00357274-01,0.003782
NCGC00356981-01,0.151782
NCGC00357278-01,0.004769
NCGC00357113-01,0.073681
NCGC00357218-01,0.067553
NCGC00357048-01,0.002346
NCGC00357162-01,0.000865
NCGC00356941-01,0.001835
NCGC00357184-01,0.007922
NCGC00357238-01,0.011486
NCGC00357220-01,0.014223
NCGC00357252-01,0.006736
NCGC00357159-01,0.007594
NCGC00356947-01,0.035644
NCGC00357063-01,0.004109
NCGC00356982-01,0.014142
NCGC00357219-01,0.032747
NCGC00357037-01,0.002307
NCGC00356975-01,0.020340
NCGC00357169-01,0.135388
NCGC00357022-01,0.079687
NCGC00357165-01,0.030792
NCGC00357122-01,0.558911
NCGC00357212-01,0.257646
NCGC00357263-01,0.264694
NCGC00357052-01,0.040054
NCGC00356952-01,0.338272
NCGC00357225-01,0.106852
NCGC00356944-01,0.001875
NCGC00357053-01,0.076659
NCGC00357202-01,0.022472
NCGC00357013-01,0.664764
NCGC00357131-01,0.046130
NCGC00357127-01,0.120691
NCGC00357147-01,0.101116
NCGC00357267-01,0.002164
NCGC00356979-01,0.006460
NCGC00357179-01,0.145540
NCGC00356945-01,0.001784
NCGC00357068-01,0.085946
NCGC00357002-01,0.058936
NCGC00356974-01,0.002270
NCGC00357109-01,0.929062
NCGC00356988-01,0.820880
NCGC00357117-01,0.685522
NCGC00357239-01,0.006240
NCGC00356961-01,0.103096
NCGC00356966-01,0.019931
NCGC00356996-01,0.003151
NCGC00356950-01,0.069916
NCGC00356969-01,0.007653
NCGC00357050-01,0.000573
NCGC00357258-01,0.072477
NCGC00357186-01,0.006043
NCGC00357115-01,0.001480
NCGC00356940-01,0.047244
NCGC00357130-01,0.004483
NCGC00356959-01,0.005419
NCGC00356985-01,0.000855
NCGC00357125-01,0.008909
NCGC00357270-01,0.004676
NCGC00357031-01,0.000858
NCGC00357137-01,0.005295
NCGC00357102-01,0.007204
NCGC00357228-01,0.097506
NCGC00356965-01,0.641359
NCGC00357151-01,0.177295
NCGC00357280-01,0.467183
NCGC00357097-01,0.377019
NCGC00357272-01,0.000008
NCGC00357229-01,0.002260
NCGC00357200-01,0.003696
NCGC00357273-01,0.192267
NCGC00357088-01,0.000725
NCGC00357101-01,0.002028
NCGC00357287-01,0.006088
NCGC00357253-01,0.023690
NCGC00357177-01,0.012239
NCGC00357152-01,0.001399
NCGC00357140-01,0.784946
NCGC00357086-01,0.000939
NCGC00357150-01,0.002144
NCGC00357040-01,0.000445
NCGC00357172-01,0.036013
NCGC00357135-01,0.000432
NCGC00357207-01,0.009825
NCGC00356990-01,0.001287
NCGC00357276-01,0.002307
NCGC00357016-01,0.000431
NCGC00357247-01,0.001198
NCGC00357286-01,0.018860
NCGC00357255-01,0.384084
NCGC00357025-01,0.036166
NCGC00357008-01,0.352514
NCGC00357128-01,0.245546
NCGC00356978-01,0.154539
NCGC00357072-01,0.915355
NCGC00357195-01,0.108685
NCGC00357215-01,0.019109
NCGC00357038-01,0.553264
NCGC00357208-01,0.001519
NCGC00357099-01,0.001721
NCGC00357007-01,0.010096
NCGC00356989-01,0.408652
NCGC00357246-01,0.161179
NCGC00357081-01,0.528606
NCGC00357281-01,0.111759
NCGC00357244-01,0.001710
NCGC00357194-01,0.002848
NCGC00357193-01,0.001302
NCGC00357006-01,0.000437
NCGC00357041-01,0.014340
NCGC00357074-01,0.003109
NCGC00357166-01,0.012191
NCGC00357070-01,0.000708
NCGC00357222-01,0.016185
NCGC00357245-01,0.041222
NCGC00357217-01,0.000017
NCGC00357015-01,0.000016
NCGC00357261-01,0.001383
NCGC00357060-01,0.002245
NCGC00357104-01,0.219796
NCGC00357176-01,0.155450
NCGC00357187-01,0.187198
NCGC00357066-01,0.418965
NCGC00357216-01,0.024699
NCGC00357148-01,0.901201
NCGC00357078-01,0.479554
NCGC00357027-01,0.001147
NCGC00357180-01,0.741571
NCGC00356946-01,0.891916
NCGC00356970-01,0.007353
NCGC00357191-01,0.028148
NCGC00357077-01,0.030582
NCGC00357069-01,0.001348
NCGC00356958-01,0.443119
NCGC00357121-01,0.536945
NCGC00357067-01,0.250136
NCGC00357243-01,0.894844
NCGC00357100-01,0.003467
NCGC00356960-01,0.001970
NCGC00357136-01,0.005460
NCGC00357158-01,0.016518
NCGC00357126-01,0.771644
NCGC00357110-01,0.171306
NCGC00357178-01,0.964677
NCGC00357167-01,0.790634
NCGC00357096-01,0.845330
NCGC00357230-01,0.708360
NCGC00357257-01,0.012900
NCGC00356951-01,0.003639
NCGC00357241-01,0.023475
NCGC00357024-01,0.076100
NCGC00357233-01,0.076100
NCGC00357197-01,0.000484
NCGC00357142-01,0.003154
NCGC00357231-01,0.000824
NCGC00357044-01,0.442831
NCGC00357209-01,0.736999
NCGC00357045-01,0.643975
NCGC00357075-01,0.058201
NCGC00356938-01,0.137496
NCGC00357065-01,0.003116
NCGC00357094-01,0.003699
NCGC00357083-01,0.038930
NCGC00357085-01,0.113450
NCGC00357236-01,0.127540
NCGC00357035-01,0.001732
NCGC00357108-01,0.013747
NCGC00357235-01,0.049898
NCGC00357224-01,0.204585
NCGC00357211-01,0.002766
NCGC00357039-01,0.001913
NCGC00357264-01,0.001966
NCGC00357285-01,0.064969
NCGC00357032-01,0.012344
NCGC00357059-01,0.049079
NCGC00357061-01,0.171929
NCGC00357190-01,0.285816
NCGC00356943-01,0.241949
NCGC00357005-01,0.030461
NCGC00357251-01,0.094375
NCGC00356992-01,0.214789
NCGC00357254-01,0.002207
NCGC00357199-01,0.007966
NCGC00356957-01,0.201708
NCGC00356968-01,0.147046
NCGC00357268-01,0.117407
NCGC00357256-01,0.088411
NCGC00357141-01,0.013030
NCGC00357093-01,0.013772
NCGC00357087-01,0.161276
NCGC00357223-01,0.353062
NCGC00357119-01,0.055854
NCGC00357003-01,0.404840
NCGC00357275-01,0.589712
NCGC00357014-01,0.454307
NCGC00357011-01,0.915247
NCGC00356976-01,0.284203
NCGC00357175-01,0.754151
NCGC00357021-01,0.000036
NCGC00357221-01,0.128407
NCGC00356972-01,0.000809
NCGC00357133-01,0.001334
NCGC00357056-01,0.006831
NCGC00356980-01,0.006711
NCGC00357206-01,0.094453
NCGC00357250-01,0.016816
NCGC00356997-01,0.044040
NCGC00356998-01,0.084773
NCGC00357282-01,0.100299
NCGC00356948-01,0.016228
NCGC00357054-01,0.470022
NCGC00356956-01,0.015287
NCGC00356994-01,0.306856
NCGC00357234-01,0.320960
NCGC00357111-01,0.642551
NCGC00357155-01,0.158363
NCGC00357098-01,0.165558
NCGC00357156-01,0.122823
NCGC00357019-01,0.049411
NCGC00357095-01,0.106879
NCGC00357226-01,0.305609
NCGC00357249-01,0.501513
NCGC00357017-01,0.265496
NCGC00357259-01,0.045173
NCGC00357051-01,0.462527
NCGC00356954-01,0.002819
NCGC00357020-01,0.046909
NCGC00357168-01,0.008659
NCGC00357283-01,0.003323
NCGC00357210-01,0.040890
NCGC00357118-01,0.247128
NCGC00357144-01,0.002828
