Chemical,SMILES
NCGC00255428-01,CCOC(=O)[C@@H](C)OC1=CC=C(OC2=NC3=C(O2)C=C(Cl)C=C3)C=C1
NCGC00160660-01,CC1=C(CN2C=CN=C2)C3=C(C=CC=C3)N1CCC(O)=O
NCGC00255873-01,CCOP(=S)(OCC)OC1=CC(C)=NC(=N1)N(CC)CC
NCGC00259312-01,OC1=C(Cl)C=CC(Cl)=C1Cl
NCGC00258576-01,O=C1NC=CC(=O)N1
NCGC00260454-01,NC1=CC=C2C3=CC=CC=C3C4=C2C1=CC=C4
NCGC00256456-01,OC(=O)CCCC(O)=O
NCGC00260043-01,ClC(Cl)Cl
NCGC00095209-01,CC(C)=CCOC1=C2OC(=O)C=CC2=CC3=C1OC=C3
NCGC00256076-01,[H][C@]12CC[C@]3([H])[C@H]1C(C)(C)CCC[C@]3(C)C2=C
NCGC00255928-01,CC1=CC(CCC(=O)OCCOCCOCCOC(=O)CCC2=CC(C)=C(O)C(=C2)C(C)(C)C)=CC(=C1O)C(C)(C)C
NCGC00167568-01,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC
NCGC00257294-01,CCCCCC1=CCCC1=O
NCGC00255457-01,CC(C(O)=O)C1=CC=C(C(F)=C1)C2=CC=CC=C2
NCGC00258254-01,OC1N=C(C2=CC=CC=C2)C3=CC(Cl)=CC=C3NC1=O
NCGC00259687-01,CC(C)=CC1C(C(=O)OCC2=COC(CC3=CC=CC=C3)=C2)C1(C)C
NCGC00013628-01,Cl.[H][C@@]12CC3C(C(=O)C4=C(C=CC=C4O)[C@@]3(C)O)=C(O)[C@]1(O)C(=O)C(C(=O)NCN5CCCC5)=C(O)[C@H]2N(C)C
NCGC00259857-01,OC1=CC2=C(C(O)=C1)C(=O)C(O)=C(O2)C3=CC(O)=C(O)C=C3
NCGC00258360-01,ClC(Cl)Br
NCGC00260031-01,[H][C@@]12CCCN1C(=O)[C@H](NC(=O)[C@@H](NC(=O)C3=C4N=C5C(OC4=C(C)C=C3)=C(C)C(=O)C(N)=C5C(=O)N[C@H]6[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@]7([H])CCCN7C(=O)[C@H](NC6=O)C(C)C)[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C2=O)C(C)C
NCGC00182043-01,Cl.[H][C@](CO)(NC(=O)[C@@]([H])(CC1=CNC2=CC=CC=C12)NC(=O)[C@]([H])(CC3=CNC=N3)NC(=O)[C@@]4([H])CCC(=O)N4)C(=O)N[C@@]([H])(CC5=CC=C(O)C=C5)C(=O)NCC(=O)NC([H])(CC(C)C)C(=O)N[C@]([H])(CCCNC(N)=N)C(=O)N6CCC[C@]6([H])C(=O)NCC(N)=O
NCGC00260371-01,CCCCCCCCCCCCCCCCCBr
NCGC00255178-01,CC(C)N(CCO)C(C)C
NCGC00255399-01,OC1=CC(O)=C(O)C2=C1C(=O)C3=C(C=CC=C3)C2=O
NCGC00017056-01,O.O.OC1=CC2=C(C(O)=C1)C(=O)C(O)=C(O2)C3=CC(O)=C(O)C=C3
NCGC00016850-01,CC(C)(OC1=CC=C(CCNC(=O)C2=CC=C(Cl)C=C2)C=C1)C(O)=O
NCGC00024868-03,OC(=O)\C=C\C(O)=O.CC(C)NCC(O)COC1=CC=C(COCCOC(C)C)C=C1.CC(C)NCC(O)COC2=CC=C(COCCOC(C)C)C=C2
NCGC00255544-01,NC1=CC=C(C=C1)[As](O)(O)=O
NCGC00259521-01,FC(F)(F)C1=CC=C(Cl)C(Cl)=C1
NCGC00255350-01,ClN1C(=O)NC(=O)N(Cl)C1=O
NCGC00259115-01,COC1=CC=C(C=O)C=C1OC
NCGC00164621-01,[Br-].C[N+]3(CCC(C(N)=O)(C1=CC=CC=C1)C2=CC=CC=C2)CCCCC3
NCGC00258872-01,CCOCCOCCOCCO
NCGC00255676-01,CC(=O)OC1=CC=C(C)C=C1
NCGC00095043-01,OC1=C(O)C(=O)C(O)=C(O)C1=O
NCGC00260401-01,Cl.CCN(CC)CCNC(=O)C1=CC=C(N)C=C1
NCGC00254841-01,CCC(CC)C(C)CCOC(C)=O
NCGC00254767-01,[H]\C(C(=O)OC(C)C)=C(\C)OP(=S)(NCC)OC
NCGC00255730-01,CCN(CCC#N)C1=CC=CC=C1
NCGC00254885-01,ClCC(=O)NC1=CC=CC=C1
NCGC00259274-01,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl
NCGC00256024-01,CCC(=O)OC(C)C1=CC=CC=C1
NCGC00257508-01,CC1=CC2C(C1)C3CC2C(C)=C3
NCGC00182544-01,[H][C@@]12C[C@@]3([H])[C@]4([H])CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)COC(=O)CC(C)(C)C
NCGC00016580-01,Cl.CN[C@H](CC(C)C)C(=O)N[C@@H]1[C@H](O)C2=CC=C(OC3=C(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@H]5C[C@](C)(N)C(O)[C@H](C)O5)C6=CC(=C3)[C@@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N[C@@H]7C8=CC=C(O)C(=C8)C9=C(C=C(O)C=C9O)[C@@H](NC(=O)[C@@H](NC7=O)[C@H](O)C%10=CC(Cl)=C(O6)C=C%10)C(O)=O)C(Cl)=C2
NCGC00016833-01,Cl.CCCCN(CCCC)CCC(O)C1=CC2=C(C=C(Cl)C=C2Cl)C3=CC(=CC=C13)C(F)(F)F
NCGC00256141-01,O=CO[Al](OC=O)OC=O
NCGC00259494-01,CC1=C(N)C=C(C=C1)[N+]([O-])=O
NCGC00260081-01,CCCSC(Cl)=O
NCGC00016960-03,CCC1=C(C)CN(C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)C1=O
NCGC00257686-01,CC(CCCC(C)(C)O)C=C
NCGC00188435-01,CCCCCCCCCCCCCCCCCC(=O)OCCO
NCGC00259025-01,N#CC1=CC(=CC=C1)C#N
NCGC00183278-01,CSCC[C@H](NC(=O)[C@H](CC1=CC=C(OS(O)(=O)=O)C=C1)NC(=O)[C@@H](N)CC(O)=O)C(=O)NCC(=O)N[C@@H](CC2=CNC3=C2C=CC=C3)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC4=CC=CC=C4)C(N)=O
NCGC00254063-01,[H][C@@]12C[C@@]3([H])C(C(=O)C4=C(C=CC=C4O)[C@@]3(C)O)=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@H]2N(C)C
NCGC00258407-01,CC1=CC(=CC=C1)C#N
NCGC00256836-01,C[C@@H]1CC[C@H]([C@@H](O)C1)C(C)=C
NCGC00256365-01,[Ca++].CC(O)C([O-])=O.CC(O)C([O-])=O
NCGC00256080-01,CC1=CC[C@H](CC=O)C1(C)C
NCGC00015947-02,CN\C(NC#N)=N/C1=CC=C(C=C1)C2=NNC(=O)CC2C
NCGC00257668-01,CCCCCCCCCC(=O)N(C)C
NCGC00257408-01,CCCCCCCC\C=C/CCCCCCCC(=O)OC(CO)CO
NCGC00015238-02,ClC1=CC=C2OC(=O)NC2=C1
NCGC00255550-01,OCCCC1=CC=CC=C1
NCGC00259033-01,C1CCCNCC1
NCGC00258677-01,CC(CO)(CO)CO
NCGC00255220-01,CC1CN1P(=O)(N2CC2C)N3CC3C
NCGC00095089-01,OC(CN1C=NC=N1)(CN2C=NC=N2)C3=C(F)C=C(F)C=C3
NCGC00016849-01,CCC1=CC=CC2=C1NC3=C2CCOC3(CC)CC(O)=O
NCGC00255826-01,CC(C)(C)C2(CCC1=CC=C(Cl)C=C1)CO2
NCGC00255287-01,CC1(C)N(Br)C(=O)N(Cl)C1=O
NCGC00164639-01,O1[As]2O[As]3O[As]1O[As](O2)O3
NCGC00159498-02,CC(C)NCC(O)COC1=CC(C)=C(OC(C)=O)C(C)=C1C
NCGC00259713-01,CCCCCC(C)=O
NCGC00256274-01,NCCCN(CCO)CCO
NCGC00258681-01,NC1=C(C=CC=C1)C(=O)OCC=C
NCGC00160420-01,C1CN1P2(=NP(=NP(=N2)(N3CC3)N4CC4)(N5CC5)N6CCOCC6)N7CC7
NCGC00260086-01,[Na+].OS([O-])(=O)=O
NCGC00160593-01,C\C(=N/CC1=CC=CC=C1)C2=CC=CC=C2O
NCGC00091533-04,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]3([H])C4=CC=C(O)C=C4CC[C@@]23[H]
NCGC00093350-02,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O
NCGC00015580-08,CN1CCC(CC1)=C2C3=C(SC=C3)C(=O)CC4=CC=CC=C24
NCGC00024777-02,CCN(CC)C(=O)C1=CC=C(C=C1)[C@@H](N2C[C@@H](C)N(CC=C)C[C@@H]2C)C3=CC=CC(OC)=C3
NCGC00255343-01,COC1=CC=CC=C1OCC(O)CO
NCGC00256665-01,CC1(C)COP(OC2=CC=CC=C2)OC1
NCGC00259591-01,CCCCOCCOCCOC(=O)CCCCC(=O)OCCOCCOCCCC
NCGC00015833-09,NC(=O)C1=NC=CN=C1
NCGC00260531-01,OC1=CC=CC2=CC=CN=C12
NCGC00016937-01,Cl.OC(=O)\C=C\C1=CC=C(CN2C=CN=C2)C=C1
NCGC00257322-01,[Na+].CCCCC1=NC2=C(N=CC=C2)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NN=N[N-]5
NCGC00182064-02,[Na+].[H][C@]12SCC(CSC3=NN=CS3)=C(N1C(=O)[C@@]2([H])NC(=O)CN4C=NN=N4)C([O-])=O
NCGC00258694-01,OC1=C2C=C(C=CC2=C(C=C1[N+]([O-])=O)[N+]([O-])=O)S(O)(=O)=O
NCGC00255660-01,BrCC(=O)OCC1=CC=CC=C1
NCGC00257520-01,[OH-].C[N+](C)(C)CC1=CC=CC=C1
NCGC00091861-01,CN(C)N=NC1=C(NC=N1)C(N)=O
NCGC00256009-01,CC(COC(C)=O)OC(C)=O
NCGC00256893-01,CCCCCC(C)O
NCGC00259454-01,NS(O)(=O)=O
NCGC00260191-01,[I-].CCN1C=C[N+](C)=C1
NCGC00256557-01,OCC(O)CCl
NCGC00259709-01,CC1(OC(=O)N(C1=O)C2=CC(Cl)=CC(Cl)=C2)C=C
NCGC00163241-01,[H][C@]12C[C@@]3([H])C4=CCO[C@@]5([H])CC(=O)N6C7=C(C=CC=C7)[C@@]1(CCN2C4)[C@]6([H])[C@@]35[H]
NCGC00259272-01,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1
NCGC00254355-01,[Na+].OC[C@H](O)[C@H]1OC(=O)C(O)=C1[O-]
NCGC00258187-01,CCC(C)Br
NCGC00257051-01,CC1=CC(=C(N)C=C1)[N+]([O-])=O
NCGC00256062-01,CCCOC(=O)C1=CC=CC=C1
NCGC00256262-01,CCCCOCCOC(=O)CCCCCCCCC(=O)OCCOCCCC
NCGC00255291-01,CCCCOC(=O)CCC(=O)OCCCC
NCGC00254850-01,CC(OC(C)=O)C1=CC=CC=C1
NCGC00257037-01,ClC1=C(Cl)C(Cl)=C(Cl)C=C1
NCGC00167455-01,C[C@@H](CSC(=O)C1=CC=CC=C1)C(=O)N2C[C@H](C[C@H]2C(O)=O)SC3=CC=CC=C3
NCGC00257215-01,OC(=O)\C=C/C(O)=O
NCGC00024703-02,CN1[C@H]2CC[C@@H]1CC(C2)OC(=O)C3=CC(C)=CC(C)=C3
NCGC00257233-01,CCCCCCCC\C=C/CCCCCCCC(O)=O
NCGC00256927-01,CN(C)CCC#N
NCGC00256909-01,CC(C)CCOCC1=CC=CC=C1
NCGC00254937-01,CO[Si](C)(C)OC
NCGC00256408-01,CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=N2
NCGC00256980-01,CC(C)(CO)CO
NCGC00259255-01,CCC(C)=NO
NCGC00094546-04,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
NCGC00255589-01,[Na+].CCCCC1=CC2=C(C=CC=C2C=C1)S([O-])(=O)=O
NCGC00255183-01,CC(O)CO
NCGC00258922-01,CN(C)C1=CC=C(C)C=C1
NCGC00254761-01,ClN1C(=O)N(Cl)C(=O)N(Cl)C1=O
NCGC00257875-01,OC(=O)C1=CC(Cl)=CC=C1Cl
NCGC00260452-01,N#CC1=CC2=C(C=CC=C2)C3=C1C=CC=C3
NCGC00255339-01,CCCCOCCOC(=O)COC1=C(Cl)C=C(Cl)C=C1
NCGC00090820-01,CC(=O)NC1=CC=C(C=C1)C(O)=O
NCGC00181773-01,[Na+].CCC(=O)[N-]S(=O)(=O)C1=CC=C(C=C1)C2=C(C)ON=C2C3=CC=CC=C3
NCGC00260461-01,OC1=C(F)C=CC=C1
NCGC00247725-01,OC(=O)\C=C\C(O)=O.CCN(CC)CCC1=CNC2=CC=CC=C12.CCN(CC)CCC3=CNC4=CC=CC=C34
NCGC00259549-01,CC1=CC=CC(=C1C)[N+]([O-])=O
NCGC00254088-01,CCCCOC(=O)CCCCCCCCC(=O)OCCCC
NCGC00256234-01,CC(O)C#CC(C)O
NCGC00259507-01,CC1(C)CC2=C(O1)C(O)=CC=C2
NCGC00258237-01,[O-][N+](=O)C1=CC=CC2=CC=CN=C12
NCGC00015500-10,OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C3=CC=C(Cl)C=C3
NCGC00260332-01,O=NN1CCNCC1
NCGC00259208-01,OC(=O)C1=CC=C(C=C1)C(O)=O
NCGC00254874-01,O=C1CCCCCCCCCCCC(=O)OCCO1
NCGC00255094-01,CC(=O)NC1=CC=C(CC(O)=O)C=C1
NCGC00159467-02,Cl.COC(=O)[C@@H]1[C@H]2CC[C@@H](C[C@H]1OC(=O)C3=CC=CC=C3)N2C
NCGC00259460-01,ClC1C=CC2C1C3(Cl)C(Cl)=C(Cl)C2(Cl)C3(Cl)Cl
NCGC00016447-01,[H][C@@]12CCC3=C[C@H](CC[C@]3(C)[C@@]1([H])CC[C@]4(C)[C@H](CC[C@]24O)C5=COC(=O)C=C5)O[C@@H]6O[C@@H](C)[C@H](O)[C@@H](O)[C@H]6O
NCGC00017041-01,CCNCC.OC1=CC(=C(O)C=C1)S(O)(=O)=O
NCGC00093857-01,Cl.CCOC(=O)C1=CN=C2N(CC)N=CC2=C1NN=C(C)C
NCGC00254524-01,[Cl-].CN(C)C1=CC=C(C=C1)C(C2=CC=C(C=C2)N(C)C)=C3C=CC(C=C3)=[N+](C)C
NCGC00257256-01,OCC1CCCO1
NCGC00255419-01,[Na+].[O-]C(=O)C(Cl)Cl
NCGC00254254-01,CCCCCCCCCCCCCCCS(=O)(=O)OC1=CC=CC=C1
NCGC00257166-01,CC(=O)C=CC1=CC=CC=C1
NCGC00258751-01,CN(CCO)CCO
NCGC00256794-01,CCCCCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(C)C
NCGC00256129-01,CCCCOC(=O)CCCCCCCC(=O)OCCCC
NCGC00257156-01,CC(C)C#N
NCGC00257762-01,CC(O)=O.FC(F)(F)COC1=CC(C(=O)NCC2CCCCN2)=C(OCC(F)(F)F)C=C1
NCGC00166400-01,O.O.OS(=O)CO[Na]
NCGC00258968-01,CC(Br)C(O)=O
NCGC00181356-01,[I-].C[N+]4(CC1COC(O1)(C2CCCCC2)C3=CC=CC=C3)CCCCC4
NCGC00260139-01,S=C1NC=NC2=C1N=CN2
NCGC00256919-01,CCCC(=O)OCCC1=CC=CC=C1
NCGC00183273-01,Cl.CCN(CC)CCOC(=O)C1=C(Cl)C=C(N)C=C1
NCGC00257708-01,CC1=CC=C2C=CC3=CC=CC4=C3C2=C1C=C4
NCGC00015156-11,NCC(CC(O)=O)C1=CC=C(Cl)C=C1
NCGC00160444-01,NS(=O)(=O)C1=CC=C(Cl)C(=C1)S(N)(=O)=O
NCGC00254858-01,CC(=C)C(=O)OCCOCCOCCOCCOC(=O)C(C)=C
NCGC00260128-01,CC(C)COC=C
NCGC00016384-03,CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C
NCGC00258704-01,C1CCC2OC2C1
NCGC00260547-01,NC(=S)NC1=C2C=CC=CC2=CC=C1
NCGC00260420-01,CC(=O)C1CCCCC1=O
NCGC00181035-01,[K+].CCCCC([O-])=O
NCGC00258047-01,ON=C1CCCC1
NCGC00257650-01,OC1CCCC2=C1C=CC=C2
NCGC00247704-01,Cl.CN[C@@H](C)CC1=CC=CC=C1
NCGC00255262-01,[H][C@@]12CC[C@](O)(C#C)[C@@]1(C)CC[C@]3([H])[C@@]4([H])CCCC=C4CC[C@@]23[H]
NCGC00257780-01,N#CCCSCCC#N
NCGC00254955-01,CC(=C)C(=O)OCCOC1=CC=CC=C1
NCGC00166113-01,O=C1C(=C1C2=CC=CC=C2)C3=CC=CC=C3
NCGC00181108-01,Cl.CCN(CC)C(=O)NC1=CC(C(C)=O)=C(OCC(O)CNC(C)(C)C)C=C1
NCGC00259064-01,CC(C)OB(OC(C)C)OC(C)C
NCGC00095019-01,CCC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O
NCGC00254427-01,CCCCCCCC=O
NCGC00168347-01,CCC(=O)O[C@@]1(CCN(C)C[C@H]1C)C2=CC=CC=C2
NCGC00256015-01,SCCSCCS
NCGC00259354-01,CC1=C2C=CC=CC2=C(C)C3=C4C=CC=CC4=CC=C13
NCGC00257639-01,ClC1=C(Cl)C=C(C=C1)N=C=O
NCGC00258706-01,CCC(C)(C)OC
NCGC00257298-01,OC(=O)\C=C\C(O)=O.O=C1N(CCC2=NOC(=N2)C3=CC=C(CN4CCCCCC4)S3)C(=O)C5=C1C=CC=C5
NCGC00257588-01,OC(=O)CC(Cl)C(O)=O
NCGC00257790-01,CCCCC(CC)COC(=O)C(C#N)=C(C1=CC=CC=C1)C2=CC=CC=C2
NCGC00254931-01,CCCCOC(=O)[C@@H](C)OC1=CC=C(OC2=C(F)C=C(C=C2)C#N)C=C1
NCGC00258338-01,O=[Cr]O[Cr]=O
NCGC00247733-01,Cl.[H][C@@]1(C[C@@]23CC[C@@]1(OC)[C@@H]4OC5=C(O)C=CC6=C5[C@]24CCN(CC7CC7)[C@@H]3C6)[C@](C)(O)C(C)(C)C
NCGC00256591-01,Cl.CC1=C(N)C=CC(Cl)=C1
NCGC00255872-01,OCCN(CCO)CCN(CCO)CCO
NCGC00254129-01,CCC1=C(OCC(O)=O)C=CC(SCC2=C(CN3CCN(CC3)C4=CC=C(OC)C=C4)N=C(S2)C5=CC=C(C=C5)C(F)(F)F)=C1
NCGC00256950-01,OCCN(CCO)CCO.CCCCCCCCCCCCOS(O)(=O)=O
NCGC00258767-01,OC(=O)CC(=O)C(O)=O
NCGC00256827-01,CCCCCOC(=O)CCCCC
NCGC00258500-01,CC1=CC=C(C=C1)C#N
NCGC00255312-01,[Na+].[O-]C(=O)CF
NCGC00015893-02,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1
NCGC00182048-01,CCCCCCCCCCCCCCCC(=O)OCCC1CCN(CCCN2C3=C(SC4=C2C=C(C=C4)S(=O)(=O)N(C)C)C=CC=C3)CC1
NCGC00016562-01,Cl.CCN(CC)C(C)CN1C2=C(SC3=C1C=CC=C3)C=CC=C2
NCGC00258298-01,CCN(C)N=O
NCGC00255184-01,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])CCC4=CC(=O)CC[C@]34C
NCGC00160605-01,CC(=O)NC1=CC=C(OC(C)=O)C=C1
NCGC00015234-11,NC(=O)N1C2=CC=CC=C2C=CC3=C1C=CC=C3
NCGC00257277-01,CC1=CC(=CC=C1NC(=O)C2=CC=CC(I)=C2C(=O)NC(C)(C)CS(C)(=O)=O)C(F)(C(F)(F)F)C(F)(F)F
NCGC00259695-01,CCCCCCOCCOCCO
NCGC00257870-01,CC=CC=O
NCGC00257008-01,O=C(OC1CCCCC1)C2=C(C=CC=C2)C(=O)OC3CCCCC3
NCGC00254246-01,ClC1=CC(Cl)=C(Cl)C=C1Cl
NCGC00178624-02,[Zn++].OC1=CC=CC=C1C([O-])=O.OC2=CC=CC=C2C([O-])=O
NCGC00095053-01,CNC1=CC=C(C=C1)C(=O)CC(O)CCC(C)C2OC(=O)CC(O)CC(=O)CC(O)CC(O)CC(O)CC(O)CC3(O)CC(O)C(C(CC(O[C@@H]4O[C@H](C)[C@@H](O)[C@H](N)[C@@H]4O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\C2C)O3)C(=O)OC
NCGC00256840-01,CCCCCCCCCCOC(=O)C1=C(C=CC=C1)C(=O)OCCCCCCCC
NCGC00257948-01,CC(C)(O)CCCC1=CCC(CC1)C=O
NCGC00182033-01,NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]2CSSC[C@H](N)C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)N[C@@H](CC4=CC=CC=C4)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N2)C(=O)NCC(N)=O
NCGC00259184-01,CCC1=CC=C(C=C1)C(C(Cl)Cl)C2=CC=C(CC)C=C2
NCGC00018143-04,CCN1CCN(CC1)C2=CC3=C(C=C2F)C(=O)C(=CN3C4CC4)C(O)=O
NCGC00255260-01,CCCCCCCCCCCC(C)=O
NCGC00256824-01,CC1=CC(O)=CC=C1
NCGC00256463-01,OC(=O)CCCCCCCCCCCC(O)=O
NCGC00260217-01,[Br-].CCC[N+]1(C)CCCCC1
NCGC00015997-06,NCCS(O)(=O)=O
NCGC00168257-01,[H][C@@]12CCC(C)=C[C@@]1([H])C3=C(O)C=C(CCCCC)C=C3OC2(C)C
NCGC00017020-01,Cl.[Cl-].CCCC1=NC(N)=C(C[N+]2=CC=CC=C2C)C=N1
NCGC00256162-01,CCCCC(CC)C(O)C#C
NCGC00164388-01,OCN1C(NC(=O)NCNC(=O)NC2N(CO)C(=O)NC2=O)C(=O)NC1=O
NCGC00259740-01,O=CC1=CC=CO1
NCGC00254876-01,CCC(=O)OCCC1=CC=CC=C1
NCGC00257438-01,OC1=CC=C(C(=O)C2=CC(O)=C(O)C(O)=C2)C(O)=C1O
NCGC00016239-01,[Br-].CC[N+](C)(CC)CCOC(=O)C1C2=CC=CC=C2OC3=C1C=CC=C3
NCGC00258647-01,[Na+].OCS([O-])(=O)=O
NCGC00259281-01,O=C(OCCOCCOC(=O)C1=CC=CC=C1)C2=CC=CC=C2
NCGC00254597-01,O=C(CC1=CC=CC=C1)OCCC2=CC=CC=C2
NCGC00015428-08,CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C2=CC=CC=C2
NCGC00259524-01,CC(O)CC(C)(C)O
NCGC00257052-01,CC1=CC(C)=CC=C1
NCGC00254438-01,CC[C@@H]1C[C@H](N(CC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)C(C)=O)C3=C(C=CC(=C3)C(F)(F)F)N1C(=O)OC(C)C
NCGC00260469-01,BrC1=C2C=CC=CC2=C(Br)C3=CC=CC=C13
NCGC00258928-01,[Na+].[O-]C(=O)COC1=C(Cl)C=C(Cl)C=C1
NCGC00254168-01,CC(COCC(C)OC(=O)C1=CC=CC=C1)OC(=O)C2=CC=CC=C2
NCGC00255703-01,[Na+].[O-]S(=O)(=O)C1=CC=CC2=C1C=CC(=[N+]=[N-])C2=O
NCGC00256085-01,CC(=O)C1=NC=CN=C1
NCGC00258486-01,NC1=C(O)C=CC=C1
NCGC00256683-01,O=CCCC1=CC=CC=C1
NCGC00256144-01,[K+].[K+].[O-]S(=O)(=O)SSS([O-])(=O)=O
NCGC00255353-01,ClC1=C(Cl)N=CC(=C1)C(Cl)(Cl)Cl
NCGC00254188-01,CCCCCCC(C=O)=CC1=CC=CC=C1
NCGC00258803-01,CC1=C(Cl)C=CC=C1
NCGC00257889-01,CC(=O)OCC=C
NCGC00254718-01,[Ca++].[O-][N+]([O-])=O.[O-][N+]([O-])=O
NCGC00255568-01,[H][C@@]1([C@H](OC)[C@@H](CC[C@]12CO2)OC(=O)\C=C\C=C\C=C\C=C\C(O)=O)[C@@]3(C)O[C@@H]3CC=C(C)C
NCGC00258508-01,COC(C)(OC)OC
